tahun,provinsi,kabupaten_kota,sisa_makanan,kayu_ranting,kertas_karton,plastik,logam,kain,karet_kulit,kaca,lainnya,tpa,dibakar,dibuang_sungai,jumlah_desa,pct_tpa,pct_dibakar,pct_dibuang_sungai
2024,Jawa Tengah,Kab. Cilacap,57.67,1.71,9.71,16.42,1.33,1.25,1.7626923076923076,1.17,10.74,32.0,248.0,4.0,29.0,110.34482758620689,855.1724137931034,13.793103448275861
2024,Jawa Tengah,Kab. Banyumas,36.0,6.0,6.0,30.0,9.0,5.0,3.0,5.0,7.6927586206896565,102.0,228.0,1.0,109.0,93.57798165137615,209.1743119266055,0.9174311926605505
2024,Jawa Tengah,Kab. Purbalingga,60.43,2.02,9.02,18.69,0.61,2.26,5.09,0.81,1.07,40.0,199.0,0.0,45.0,88.88888888888889,442.22222222222223,0.0
2024,Jawa Tengah,Kab. Kebumen,35.1,13.02,10.77,12.57,0.36,0.46,0.29,0.41,27.02,28.0,426.0,6.0,73.0,38.35616438356164,583.5616438356165,8.21917808219178
2024,Jawa Tengah,Kab. Purworejo,21.53,25.17,6.95,18.18,0.44,3.09,2.86,0.8,20.98,12.0,463.0,1.0,27.0,44.44444444444444,1714.8148148148148,3.7037037037037033
2024,Jawa Tengah,Kab. Wonosobo,60.93,9.5,13.57,9.11,2.5,1.0,0.31,0.74,2.34,120.0,125.0,14.0,110.0,109.09090909090908,113.63636363636364,12.727272727272727
2024,Jawa Tengah,Kab. Magelang,45.41,6.71,4.43,24.87,0.61,2.15,0.68,1.32,13.82,81.0,269.0,13.0,81.0,100.0,332.0987654320988,16.049382716049383
2024,Jawa Tengah,Kab. Boyolali,23.23,36.17,14.56,6.61,13.58,3.72,1.06,0.27,0.8,23.0,238.0,5.0,47.0,48.93617021276596,506.3829787234043,10.638297872340425
2024,Jawa Tengah,Kab. Klaten,60.0,5.0,5.0,20.0,0.5,5.0,3.0,0.5,1.0,95.0,303.0,2.0,161.0,59.006211180124225,188.19875776397515,1.2422360248447204
2024,Jawa Tengah,Kab. Sukoharjo,52.55,0.42,13.33,23.79,0.89,1.19,0.33,1.03,6.47,66.0,101.0,0.0,51.0,129.41176470588235,198.03921568627453,0.0
2024,Jawa Tengah,Kab. Wonogiri,30.0,15.0,25.0,10.0,5.0,5.0,3.5,4.5,2.0,10.0,284.0,0.0,48.0,20.833333333333336,591.6666666666667,0.0
2024,Jawa Tengah,Kab. Karanganyar,63.0,3.0,5.0,20.0,1.0,2.0,1.0,3.0,2.0,48.0,129.0,0.0,52.0,92.3076923076923,248.0769230769231,0.0
2024,Jawa Tengah,Kab. Sragen,74.3,0.8,8.9,11.2,0.5,1.8,0.3,1.8,0.4,14.0,194.0,0.0,33.0,42.42424242424242,587.8787878787879,0.0
2024,Jawa Tengah,Kab. Grobogan,40.949666666666666,11.458275862068966,11.328666666666665,19.237000000000002,3.184137931034482,3.320689655172414,1.7626923076923076,2.2306896551724136,7.6927586206896565,10.0,270.0,0.0,39.0,25.64102564102564,692.3076923076924,0.0
2024,Jawa Tengah,Kab. Rembang,38.12,1.59,13.38,34.45,0.93,1.88,0.77,1.33,7.55,48.0,243.0,3.0,79.0,60.75949367088608,307.59493670886076,3.79746835443038
2024,Jawa Tengah,Kab. Pati,30.0,5.0,20.0,25.0,5.0,5.0,2.0,5.0,3.0,68.0,338.0,0.0,64.0,106.25,528.125,0.0
2024,Jawa Tengah,Kab. Kudus,30.65,24.89,10.08,13.02,5.24,5.43,3.62,5.77,1.3,98.0,33.0,1.0,63.0,155.55555555555557,52.38095238095239,1.5873015873015872
2024,Jawa Tengah,Kab. Jepara,53.31,0.96,8.79,23.36,0.69,2.44,0.94,1.16,8.35,47.0,148.0,0.0,61.0,77.04918032786885,242.62295081967213,0.0
2024,Jawa Tengah,Kab. Demak,39.69,12.9,12.08,17.89,3.26,2.49,1.75,2.36,7.58,91.0,158.0,0.0,90.0,101.11111111111111,175.55555555555554,0.0
2024,Jawa Tengah,Kab. Semarang,61.56,11.58,4.25,18.53,0.27,0.18,1.7626923076923076,0.38,3.25,78.0,157.0,0.0,100.0,78.0,157.0,0.0
2024,Jawa Tengah,Kab. Temanggung,30.95,17.16,7.36,19.24,7.57,1.89,2.1,2.02,11.71,139.0,120.0,15.0,132.0,105.3030303030303,90.9090909090909,11.363636363636363
2024,Jawa Tengah,Kab. Kendal,30.61,15.08,9.49,23.02,0.29,8.0,1.07,0.87,11.57,115.0,167.0,4.0,69.0,166.66666666666669,242.02898550724638,5.797101449275362
2024,Jawa Tengah,Kab. Batang,23.19,4.96,21.88,19.44,3.184137931034482,3.320689655172414,0.15,0.36,30.02,48.0,198.0,0.0,66.0,72.72727272727273,300.0,0.0
2024,Jawa Tengah,Kab. Pekalongan,31.2,12.9,10.4,26.7,2.7,2.6,2.0,1.3,10.2,69.0,194.0,14.0,68.0,101.47058823529412,285.29411764705884,20.588235294117645
2024,Jawa Tengah,Kab. Pemalang,23.0,16.0,11.0,21.0,5.0,6.0,6.0,9.0,3.0,84.0,129.0,8.0,85.0,98.82352941176471,151.76470588235293,9.411764705882353
2024,Jawa Tengah,Kab. Tegal,52.54,3.39,4.46,23.09,0.21,4.14,1.7626923076923076,0.93,11.24,166.0,115.0,6.0,138.0,120.28985507246377,83.33333333333334,4.3478260869565215
